date,revenue,orders,website_traffic,marketing_spend,new_customers,returning_customers,engagement_rate,conversion_rate,average_order_value,revenue_growth,traffic_growth,customer_growth
2026-06-15,10660.17,140,3875,695.94,95,45,40.57,3.61,76.14,-3.22,-20.63,-1.41
2026-06-16,10594.49,152,4311,723.39,102,50,41.79,3.53,69.7,-0.62,11.25,8.57
2026-06-17,10500.25,146,4045,779.53,91,55,45.29,3.61,71.92,-0.89,-6.17,-3.95
2026-06-18,13648.5,197,4140,779.04,126,71,41.36,4.76,69.28,29.98,2.35,34.93
2026-06-19,10335.1,139,4061,766.58,84,55,44.92,3.42,74.35,-24.28,-1.91,-29.44
2026-06-20,15906.25,200,5425,935.58,120,80,40.04,3.69,79.53,53.91,33.59,43.88
2026-06-21,12864.51,184,4912,947.29,115,69,44.21,3.75,69.92,-19.12,-9.46,-8.0
2026-06-22,11230.77,145,3957,649.18,89,56,46.52,3.66,77.45,-12.7,-19.44,-21.2
2026-06-23,10493.79,145,4492,834.97,93,52,36.77,3.23,72.37,-6.56,13.52,0.0
2026-06-24,10173.98,143,3927,805.43,84,59,40.98,3.64,71.15,-3.05,-12.58,-1.38
2026-06-25,10453.08,140,4336,735.91,95,45,44.44,3.23,74.66,2.74,10.42,-2.1
2026-06-26,8413.52,120,3737,647.18,81,39,42.52,3.21,70.11,-19.51,-13.81,-14.29
2026-06-27,10891.43,150,4599,832.3,97,53,43.98,3.26,72.61,29.45,23.07,25.0
2026-06-28,11811.14,170,5035,883.64,108,62,41.57,3.38,69.48,8.44,9.48,13.33
2026-06-29,16051.29,188,4516,743.1,115,73,43.33,4.16,85.38,35.9,-10.31,10.59
2026-06-30,9477.6,125,4365,788.79,83,42,42.75,2.86,75.82,-40.95,-3.34,-33.51
2026-07-01,11557.55,160,4293,724.94,104,56,46.09,3.73,72.23,21.95,-1.65,28.0
2026-07-02,9534.62,124,4249,786.13,74,50,43.83,2.92,76.89,-17.5,-1.02,-22.5
2026-07-03,10021.48,133,3927,665.49,89,44,44.07,3.39,75.35,5.11,-7.58,7.26
2026-07-04,13705.81,183,4834,939.87,121,62,42.22,3.79,74.9,36.76,23.1,37.59
2026-07-05,13615.47,172,4916,849.63,116,56,42.06,3.5,79.16,-0.66,1.7,-6.01
2026-07-06,11195.14,140,4661,824.49,91,49,42.22,3.0,79.97,-17.78,-5.19,-18.6
2026-07-07,10526.83,143,4469,841.03,92,51,44.32,3.2,73.61,-5.97,-4.12,2.14
2026-07-08,10360.18,141,3887,644.27,88,53,42.31,3.63,73.48,-1.58,-13.02,-1.4
2026-07-09,10659.82,142,4480,816.64,96,46,44.11,3.17,75.07,2.89,15.26,0.71
2026-07-10,9948.63,153,4289,830.84,102,51,48.61,3.57,65.02,-6.67,-4.26,7.75
2026-07-11,11392.63,165,4911,811.64,96,69,45.62,3.36,69.05,14.51,14.5,7.84
2026-07-12,15038.19,180,5281,958.89,105,75,42.66,3.41,83.55,32.0,7.53,9.09
2026-07-13,16324.77,192,4710,859.49,119,73,46.5,4.08,85.02,8.56,-10.81,6.67
2026-07-14,12556.86,166,4690,879.38,110,56,42.51,3.54,75.64,-23.08,-0.42,-13.54
2026-07-15,9663.13,121,4202,700.7,82,39,38.46,2.88,79.86,-23.05,-10.41,-27.11
2026-07-16,12343.8,157,4358,725.02,93,64,41.06,3.6,78.62,27.74,3.71,29.75
2026-07-17,13882.49,150,4546,841.77,96,54,38.93,3.3,92.55,12.47,4.31,-4.46
2026-07-18,17231.2,208,5438,992.2,129,79,42.76,3.82,82.84,24.12,19.62,38.67
2026-07-19,12347.69,161,5040,918.47,109,52,43.71,3.19,76.69,-28.34,-7.32,-22.6
2026-07-20,10678.74,147,4425,812.09,98,49,47.89,3.32,72.64,-13.52,-12.2,-8.7
2026-07-21,10630.27,153,4175,720.9,102,51,44.54,3.66,69.48,-0.45,-5.65,4.08
2026-07-22,12107.07,154,4158,758.89,97,57,43.2,3.7,78.62,13.89,-0.41,0.65
2026-07-23,11086.07,150,4728,864.23,93,57,45.85,3.17,73.91,-8.43,13.71,-2.6
2026-07-24,11589.31,164,4888,847.69,100,64,38.28,3.36,70.67,4.54,3.38,9.33
2026-07-25,12613.11,169,5210,1021.76,99,70,44.42,3.24,74.63,8.83,6.59,3.05
2026-07-26,12986.06,179,5520,1014.92,119,60,45.79,3.24,72.55,2.96,5.95,5.92
2026-07-27,16690.67,193,4634,780.51,128,65,40.19,4.16,86.48,28.53,-16.05,7.82
2026-07-28,12876.48,156,4360,814.34,106,50,46.78,3.58,82.54,-22.85,-5.91,-19.17
2026-07-29,10867.35,139,4650,793.14,94,45,44.79,2.99,78.18,-15.6,6.65,-10.9
2026-07-30,16542.19,193,4987,933.08,123,70,42.93,3.87,85.71,52.22,7.25,38.85
2026-07-31,15363.43,195,4555,872.04,128,67,45.58,4.28,78.79,-7.13,-8.66,1.04
2026-08-01,16320.14,220,5733,995.01,148,72,49.7,3.84,74.18,6.23,25.86,12.82
2026-08-02,11636.11,135,4570,865.95,90,45,44.51,2.95,86.19,-28.7,-20.29,-38.64
2026-08-03,13261.88,163,4819,886.0,99,64,44.7,3.38,81.36,13.97,5.45,20.74
2026-08-04,13021.77,177,4621,868.77,111,66,42.96,3.83,73.57,-1.81,-4.11,8.59
2026-08-05,11060.77,142,4521,899.14,84,58,42.01,3.14,77.89,-15.06,-2.16,-19.77
2026-08-06,12525.28,168,4638,823.8,113,55,46.24,3.62,74.56,13.24,2.59,18.31
2026-08-07,11104.67,154,4064,697.6,99,55,42.05,3.79,72.11,-11.34,-12.38,-8.33
2026-08-08,14487.37,173,5298,913.61,104,69,44.4,3.27,83.74,30.46,30.36,12.34
2026-08-09,17838.16,201,5468,947.53,130,71,43.06,3.68,88.75,23.13,3.21,16.18
2026-08-10,9181.6,127,5058,906.97,82,45,45.48,2.51,72.3,-48.53,-7.5,-36.82
2026-08-11,11835.74,144,4507,826.61,89,55,45.14,3.2,82.19,28.91,-10.89,13.39
2026-08-12,11736.87,154,4434,810.57,91,63,46.93,3.47,76.21,-0.84,-1.62,6.94
2026-08-13,10565.43,137,4528,852.26,89,48,43.09,3.03,77.12,-9.98,2.12,-11.04
2026-08-14,15719.91,205,4933,888.53,130,75,43.71,4.16,76.68,48.79,8.94,49.64
2026-08-15,12744.86,169,5516,1058.29,111,58,41.97,3.06,75.41,-18.93,11.82,-17.56
2026-08-16,14651.86,183,5285,939.39,116,67,43.33,3.46,80.06,14.96,-4.19,8.28
2026-08-17,13030.09,172,4844,994.33,114,58,45.42,3.55,75.76,-11.07,-8.34,-6.01
